Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,1053.619995,1053.650024,1053.609985,1053.650024,000,1053.650024
2015-12-30,1052.819946,1054.910034,1051.359985,1052.359985,000,1052.359985
2015-12-29,1056.550049,1058.170044,1055.689941,1056.630005,000,1056.630005
2015-12-28,1056.349976,1056.349976,1052.300049,1054.130005,000,1054.130005
2015-12-24,1063.150024,1063.170044,1063.140015,1063.170044,000,1063.170044
2015-12-23,1057.709961,1061.079956,1055.920044,1058.910034,000,1058.910034
2015-12-22,1048.119995,1051.819946,1047.349976,1050.050049,000,1050.050049
2015-12-21,1049.530029,1050.400024,1047.060059,1047.25,000,1047.25
2015-12-18,1052.47998,1054.099976,1046.420044,1047.560059,000,1047.560059
2015-12-17,1053.430054,1053.939941,1047.530029,1052.900024,000,1052.900024
2015-12-16,1046.349976,1047.160034,1043.530029,1046.030029,000,1046.030029
2015-12-15,1031.050049,1032.410034,1026.209961,1026.25,000,1026.25
2015-12-14,1022.880005,1030.290039,1022.880005,1027.099976,000,1027.099976
2015-12-11,1038.47998,1041.119995,1034.48999,1035.23999,000,1035.23999
2015-12-10,1048.97998,1049.170044,1042.310059,1044.359985,000,1044.359985
2015-12-09,1048.079956,1050.709961,1046.569946,1046.959961,000,1046.959961
2015-12-08,1049.209961,1051.209961,1045.109985,1050.810059,000,1050.810059
2015-12-07,1067.369995,1068.23999,1063.22998,1063.26001,000,1063.26001
2015-12-04,1063.50,1064.75,1060.51001,1064.75,000,1064.75
2015-12-03,1072.97998,1075.790039,1069.76001,1072.790039,000,1072.790039
2015-12-02,1074.98999,1079.310059,1074.26001,1075.660034,000,1075.660034
2015-12-01,1076.109985,1077.26001,1071.339966,1072.51001,000,1072.51001
2015-11-30,1059.040039,1064.599976,1053.449951,1055.98999,000,1055.98999
2015-11-27,1064.449951,1067.02002,1059.189941,1059.48999,000,1059.48999
2015-11-25,1080.869995,1083.670044,1076.430054,1078.290039,000,1078.290039
2015-11-24,1076.25,1084.140015,1076.170044,1082.469971,000,1082.469971
2015-11-23,1087.680054,1088.140015,1083.469971,1085.410034,000,1085.410034
2015-11-20,1075.410034,1090.670044,1074.22998,1089.01001,000,1089.01001
2015-11-19,1074.170044,1078.079956,1073.380005,1076.97998,000,1076.97998
2015-11-18,1063.689941,1065.410034,1061.199951,1061.97998,000,1061.97998
2015-11-17,1073.329956,1073.369995,1064.02002,1064.449951,000,1064.449951
2015-11-16,1055.910034,1056.48999,1052.910034,1053.119995,000,1053.119995
2015-11-13,1069.459961,1071.439941,1067.180054,1069.930054,000,1069.930054
2015-11-12,1080.420044,1099.109985,1080.00,1095.150024,000,1095.150024
2015-11-11,1074.640015,1074.910034,1070.01001,1071.01001,000,1071.01001
2015-11-10,1073.189941,1075.48999,1070.50,1073.410034,000,1073.410034
2015-11-09,1094.060059,1094.550049,1085.079956,1086.300049,000,1086.300049
2015-11-06,1096.589966,1097.170044,1092.569946,1095.00,000,1095.00
2015-11-05,1108.02002,1108.27002,1104.030029,1105.719971,000,1105.719971
2015-11-04,1102.50,1109.560059,1100.76001,1105.780029,000,1105.780029
2015-11-03,1086.589966,1088.26001,1083.380005,1083.790039,000,1083.790039
2015-11-02,1078.290039,1080.869995,1072.280029,1074.390015,000,1074.390015
2015-10-30,1091.780029,1095.51001,1085.060059,1086.170044,000,1086.170044
2015-10-29,1098.359985,1103.51001,1095.27002,1095.51001,000,1095.51001
2015-10-28,1103.51001,1104.949951,1100.189941,1102.099976,000,1102.099976
2015-10-27,1099.150024,1109.219971,1098.51001,1109.219971,000,1109.219971
2015-10-26,1109.180054,1109.609985,1103.040039,1105.839966,000,1105.839966
2015-10-23,1108.390015,1109.420044,1106.359985,1108.00,000,1108.00
2015-10-22,1091.97998,1095.400024,1090.390015,1094.459961,000,1094.459961
2015-10-21,1103.540039,1103.569946,1103.530029,1103.569946,000,1103.569946
2015-10-20,1103.400024,1103.98999,1096.430054,1103.569946,000,1103.569946
2015-10-19,1103.530029,1107.910034,1099.060059,1106.959961,000,1106.959961
2015-10-16,1101.52002,1104.98999,1099.949951,1103.800049,000,1103.800049
2015-10-15,1097.75,1097.75,1091.829956,1094.680054,000,1094.680054
2015-10-14,1075.680054,1077.079956,1071.619995,1074.689941,000,1074.689941
2015-10-13,1082.430054,1084.119995,1078.599976,1081.670044,000,1081.670044
2015-10-12,1090.47998,1090.72998,1082.670044,1089.890015,000,1089.890015
2015-10-09,1090.430054,1091.01001,1075.719971,1076.589966,000,1076.589966
2015-10-08,1073.050049,1073.780029,1066.51001,1072.819946,000,1072.819946
2015-10-07,1060.150024,1081.880005,1060.150024,1081.880005,000,1081.880005
2015-10-06,1054.869995,1054.869995,1046.390015,1051.130005,000,1051.130005
2015-10-05,1057.619995,1057.630005,1050.569946,1055.219971,000,1055.219971
2015-10-02,1036.050049,1041.619995,1034.030029,1040.810059,000,1040.810059
2015-10-01,1012.340027,1012.359985,1012.320007,1012.359985,000,1012.359985
2015-09-30,1011.960022,1016.590027,1010.869995,1012.359985,000,1012.359985
2015-09-29,994.919983,1002.369995,994.789978,1000.900024,000,1000.900024
2015-09-28,1029.180054,1029.189941,1029.160034,1029.189941,000,1029.189941
2015-09-25,1020.76001,1035.02002,1020.75,1029.189941,000,1029.189941
2015-09-24,1027.420044,1032.50,1025.550049,1027.47998,000,1027.47998
2015-09-23,1029.079956,1039.160034,1022.359985,1036.069946,000,1036.069946
2015-09-22,1062.920044,1071.280029,1057.199951,1058.390015,000,1058.390015
2015-09-21,1046.150024,1053.069946,1046.150024,1052.52002,000,1052.52002
2015-09-18,1058.50,1060.680054,1053.380005,1057.869995,000,1057.869995
2015-09-17,1068.50,1071.47998,1048.02002,1054.619995,000,1054.619995
2015-09-16,1048.339966,1069.089966,1047.069946,1063.209961,000,1063.209961
2015-09-15,1039.23999,1042.560059,1036.00,1037.930054,000,1037.930054
2015-09-14,1038.050049,1045.540039,1036.560059,1041.75,000,1041.75
2015-09-11,1051.51001,1053.50,1037.209961,1038.790039,000,1038.790039
2015-09-10,1047.349976,1051.75,1038.339966,1041.47998,000,1041.47998
2015-09-09,1056.76001,1074.01001,1053.579956,1069.359985,000,1069.359985
2015-09-08,994.48999,1034.800049,994.48999,1027.089966,000,1027.089966
2015-09-04,1007.650024,1012.690002,1002.580017,1008.859985,000,1008.859985
2015-09-03,1014.650024,1014.650024,1014.630005,1014.640015,000,1014.640015
2015-09-02,1024.810059,1030.099976,1012.47998,1014.669983,000,1014.669983
2015-09-01,1047.609985,1048.73999,1026.670044,1027.290039,000,1027.290039
2015-08-31,1039.130005,1055.650024,1038.25,1050.869995,000,1050.869995
2015-08-28,1060.819946,1063.810059,1042.839966,1043.910034,000,1043.910034
2015-08-27,1049.180054,1064.680054,1038.849976,1058.680054,000,1058.680054
2015-08-26,1039.689941,1050.599976,1021.530029,1021.940002,000,1021.940002
2015-08-25,1042.680054,1044.420044,1010.039978,1035.680054,000,1035.680054
2015-08-24,1038.630005,1041.98999,1026.300049,1028.869995,000,1028.869995
2015-08-21,1075.97998,1090.160034,1074.26001,1085.73999,000,1085.73999
2015-08-20,1103.00,1107.51001,1092.050049,1098.839966,000,1098.839966
2015-08-19,1123.699951,1126.329956,1117.00,1117.160034,000,1117.160034
2015-08-18,1145.189941,1145.550049,1131.530029,1132.069946,000,1132.069946
2015-08-17,1142.650024,1148.280029,1141.790039,1146.099976,000,1146.099976
2015-08-14,1154.650024,1155.319946,1149.75,1151.569946,000,1151.569946
2015-08-13,1147.680054,1152.420044,1146.420044,1149.189941,000,1149.189941
2015-08-12,1150.439941,1150.439941,1139.689941,1143.400024,000,1143.400024
2015-08-11,1182.189941,1182.189941,1167.880005,1170.689941,000,1170.689941
2015-08-10,1169.469971,1175.699951,1168.98999,1172.22998,000,1172.22998
2015-08-07,1175.780029,1177.630005,1172.280029,1173.599976,000,1173.599976
2015-08-06,1166.52002,1167.920044,1163.109985,1164.699951,000,1164.699951
2015-08-05,1167.150024,1171.109985,1166.319946,1170.709961,000,1170.709961
2015-08-04,1164.109985,1169.619995,1161.77002,1164.22998,000,1164.22998
2015-08-03,1164.209961,1167.949951,1158.170044,1165.359985,000,1165.359985
2015-07-31,1170.810059,1174.589966,1165.98999,1173.77002,000,1173.77002
2015-07-30,1170.290039,1174.369995,1164.859985,1165.849976,000,1165.849976
2015-07-29,1162.920044,1171.00,1159.650024,1168.869995,000,1168.869995
2015-07-28,1172.449951,1173.76001,1161.719971,1162.459961,000,1162.459961
2015-07-27,1157.579956,1161.939941,1151.780029,1153.880005,000,1153.880005
2015-07-24,1190.969971,1194.790039,1187.869995,1189.180054,000,1189.180054
2015-07-23,1200.839966,1203.01001,1198.430054,1200.349976,000,1200.349976
2015-07-22,1194.160034,1197.390015,1191.160034,1197.160034,000,1197.160034
2015-07-21,1205.069946,1211.800049,1203.800049,1208.670044,000,1208.670044
2015-07-20,1197.150024,1200.48999,1194.02002,1198.140015,000,1198.140015
2015-07-17,1196.119995,1200.209961,1194.680054,1195.910034,000,1195.910034
